mentorId,mentorName,field
1,Michael,Data Science|Data Analysis|Artificial Intelligence|Web Devlopment|IOT
2,Christopher,Data Science|Artificial Intelligence|IOT
3,Jessica,Web Devlopment|Cloud
4,Matthew,Web Devlopment|UI/UX|Cloud
5,Ashley,Web Devlopment
6,Jennifer,Mathematics|Computer graphics|Machine Learning
7,Joshua,Web Devlopment|Cloud
8,Amanda,Data Science|Artificial Intelligence
9,Daniel,Mathematics
10,David,Mathematics|Data Science|Machine Learning
11,James,Web Devlopment|UI/UX|Cloud
12,Robert,Web Devlopment|Networking
13,John,Data Science|Data Analysis|Artificial Intelligence
14,Joseph,UI/UX
15,Andrew,Mathematics|Data Science|Cloud
16,Ryan,Computer graphics|UI/UX
17,Brandon,UI/UX|Cloud
18,Jason,Web Devlopment
19,Justin,Web Devlopment
20,Sarah,Mathematics|Web Devlopment|Computer graphics|UI/UX|Machine Learning
21,William,Web Devlopment|Computer graphics|Machine Learning
22,Jonathan,Computer graphics|UI/UX|Networking|Software Testing|Machine Learning
23,Stephanie,Mathematics|Computer graphics|Machine Learning
24,Brian,UI/UX|Robotics
25,Nicole,UI/UX|Cloud
26,Nicholas,UI/UX
27,Anthony,Artificial Intelligence|UI/UX
28,Heather,UI/UX|Cloud
29,Eric,Data Science|UI/UX|IOT|Software Testing|Robotics
30,Elizabeth,Computer graphics|UI/UX
31,Adam,UI/UX
32,Megan,Software Testing|Robotics|Machine Learning
34,Melissa,Artificial Intelligence|UI/UX
36,Kevin,Computer graphics|UI/UX
38,Steven,Artificial Intelligence|Web Devlopment
39,Thomas,Web Devlopment|Cloud
40,Timothy,UI/UX
41,Christina,UI/UX|Embedded Systems
42,Kyle,Mathematics|Computer graphics|UI/UX
43,Rachel,UI/UX
44,Laura,Mathematics|Data Science|IOT
45,Lauren,Web Devlopment|UI/UX|Machine Learning
46,Amber,UI/UX|Cloud
47,Brittany,Software Testing|Machine Learning
48,Danielle,Data Analysis|Artificial Intelligence|UI/UX|Digital Sytems and Microprocessors|Cloud
49,Richard,UI/UX|Cloud
50,Kimberly,Computer graphics|Software Testing|Machine Learning
52,Jeffrey,Web Devlopment|UI/UX|Cloud
53,Amy,Data Science|UI/UX
54,Crystal,Artificial Intelligence|Web Devlopment
55,Michelle,UI/UX
57,Tiffany,UI/UX
58,Jeremy,Web Devlopment|UI/UX|Cloud
60,Benjamin,Data Science|Artificial Intelligence|IOT
61,Mark,UI/UX|Machine Learning
62,Emily,UI/UX
63,Aaron,Web Devlopment|Computer graphics
64,Charles,Web Devlopment|Cloud
65,Rebecca,Web Devlopment
66,Jacob,Mathematics|Robotics|Machine Learning
68,Stephen,Web Devlopment|Cloud
69,Patrick,Web Devlopment
70,Sean,Mathematics|Web Devlopment|Networking|Machine Learning
71,Erin,Mathematics
72,Zachary,Web Devlopment|UI/UX
73,Jamie,UI/UX|Embedded Systems
74,Kelly,UI/UX|Cloud
75,Samantha,Web Devlopment|UI/UX
76,Nathan,Mathematics|Robotics|Machine Learning
77,Sara,DBMS
78,Dustin,Mathematics|Computer graphics|UI/UX|Machine Learning
79,Paul,UI/UX|Machine Learning
80,Angela,Artificial Intelligence|UI/UX
81,Tyler,Computer graphics|UI/UX|Cloud
82,Scott,Web Devlopment|UI/UX
83,Katherine,UI/UX|Cloud
85,Andrea,UI/UX|Cloud
86,Gregory,Mathematics|Data Science|UI/UX
87,Erica,Artificial Intelligence|Web Devlopment
88,Mary,Web Devlopment
89,Travis,Mathematics|Machine Learning
92,Lisa,UI/UX|Networking|Machine Learning
93,Kenneth,Web Devlopment|Networking|Cloud
94,Bryan,Web Devlopment|UI/UX|Cloud
95,Lindsey,Mathematics|Data Science|Machine Learning
96,Kristen,Web Devlopment|UI/UX
97,Jose,Computer graphics|UI/UX
99,Alexander,DBMS
100,Jesse,UI/UX|Machine Learning
101,Katie,Data Science|Web Devlopment|Computer graphics|Cloud
102,Lindsay,Web Devlopment
103,Shannon,Software Testing|Robotics|Machine Learning
104,Vanessa,Web Devlopment
105,Courtney,UI/UX|Cloud
106,Christine,Web Devlopment|UI/UX
107,Alicia,Data Science|Artificial Intelligence|Web Devlopment|Digital Sytems and Microprocessors
108,Cody,DBMS
110,Allison,Mathematics|UI/UX|Embedded Systems
111,Bradley,Computer graphics|UI/UX|Machine Learning
112,Samuel,Mathematics|Data Science|Web Devlopment|Computer graphics
113,Shawn,UI/UX|Software Testing
